Guard: web
+-----------------------------+-------------+------------+-----------+--------------+---------------+---------------+------------+------------+------------------+---------------+--------------+----------+---------------------+-------------+----------------+-----------+-----------+---------+--------------------+------------+-----------+-------+-------------+----------+----------------+------------+-------------+
|                             | admin lomba | admin unit | bendahara | kabid dakwah | kabid ekonomi | kabid finance | kabid halo | kabid msdm | kabid pendidikan | kabid sarpras | kabid sosial | karyawan | kepala sekeretariat | kepala unit | ketua koperasi | orang tua | pendaftar | peserta | pimpinan pesantren | sekretaris | staf msdm | staff | staff humas | staff it | staff keuangan | staff msdm | super admin |
| asalsekolah.update          |  ·          |  ✔         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| biaya.create                |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| biaya.delete                |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| biaya.edit                  |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| biaya.index                 |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| biaya.show                  |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| biaya.store                 |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| biaya.update                |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ✔             |  ·         |  ✔          |
| departemen.create           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| departemen.delete           |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
| departemen.edit             |  ·          |  ·         |  ·        |  ·           |  ·            |  ·            |  ·         |  ·         |  ·               |  ·            |  ·           |  ·       |  ·                  |  ·          |  ·             |  ·        |  ·        |  ·      |  ·                 |  ·         |  ·        |  ·    |  ·          |  ·       |  ·             |  ·         |  ✔          |
